Muscle_Group,Exercise,Difficulty_Level,Equipment_Required,Target_Intensity,Primary_Muscle_Group,Secondary_Muscle_Group,Exercise_Duration,Recovery_Time,Exercise_Type,Calories_Burned,Exercise_Progression,Injury_Risk_Level
Shoulders,Wall Ball,,,,,,,,,,
Leg,Kneeling Leg Out Adductor Stretch,,,,,,,,,,
Trapezius,Resistance Band Pull Apart,,,,,,,,,,
Leg,Half Frog Pose,,,,,,,,,,
Yoga,Half Frog Pose,,,,,,,,,,
Leg,Happy Baby Pose,,,,,,,,,,
Yoga,Happy Baby Pose,,,,,,,,,,
Chest,Kettlebell Renegade Row,,,,,,,,,,
Full Body,Kettlebell Renegade Row,,,,,,,,,,
Chest,Push-Up to Renegade Row,,,,,,,,,,
Full Body,Push-Up to Renegade Row,,,,,,,,,,
Full Body,Modified Hindu Push-up,,,,,,,,,,
Chest,Planche Push-Up,,,,,,,,,,
Full Body,Planche Push-Up,,,,,,,,,,
Triceps,Planche Push-Up,,,,,,,,,,
Chest,Finger Push-up,,,,,,,,,,
Chest,Chest Tap Push-up,,,,,,,,,,
Chest,Archer Push-Up,,,,,,,,,,
Full Body,Archer Push-Up,,,,,,,,,,
Triceps,Archer Push-Up,,,,,,,,,,
Erector Spinae,Kettlebell Figure 8,,,,,,,,,,
Full Body,Kettlebell Figure 8,,,,,,,,,,
Hip,Kettlebell Figure 8,,,,,,,,,,
Leg,Kettlebell Figure 8,,,,,,,,,,
Full Body,Dumbbell Renegade Row,,,,,,,,,,
Hip,Barbell Single Leg Deadlift,,,,,,,,,,
Leg,Barbell Single Leg Deadlift,,,,,,,,,,
Hip,Dumbbell Single Leg Deadlift,,,,,,,,,,
Leg,Dumbbell Single Leg Deadlift,,,,,,,,,,
Leg,Good Morning With Resistance Band,,,,,,,,,,
Leg,Dumbbell Bench Squat,,,,,,,,,,
Leg,Pendulum Squat,,,,,,,,,,
Shoulders,Dumbbell Windmill,,,,,,,,,,
Hip,Dumbbell Iron Cross,,,,,,,,,,
Leg,Dumbbell Iron Cross,,,,,,,,,,
Shoulders,Dumbbell Iron Cross,,,,,,,,,,
Shoulders,Incline Landmine Press,,,,,,,,,,
Leg,Box Pistol Squat,,,,,,,,,,
Chest,Ring Dips,,,,,,,,,,
Full Body,Ring Dips,,,,,,,,,,
Triceps,Ring Dips,,,,,,,,,,
Leg,Sitting Rotation Hip Stretch,,,,,,,,,,
