exercise,primary_muscle,exercise_link,image_link
Wall Walk,Full Body,https://fitnessprogramer.com/exercise/wall-walk/,https://fitnessprogramer.com/wp-content/uploads/2022/12/wall-walk-muscles.gif
One Arm Triceps Pushdown,Triceps,https://fitnessprogramer.com/exercise/one-arm-triceps-pushdown/,https://fitnessprogramer.com/wp-content/uploads/2022/11/One-arm-triceps-pushdown.gif
Kettlebell Hang Clean,Full Body,https://fitnessprogramer.com/exercise/kettlebell-hang-clean/,https://fitnessprogramer.com/wp-content/uploads/2022/07/Kettlebell-Hang-Clean.gif
Dragon Flag,Abs,https://fitnessprogramer.com/exercise/dragon-flag/,https://fitnessprogramer.com/wp-content/uploads/2022/07/Leg-Raise-Dragon-Flag.gif
Dragon Flag,Calisthenic,https://fitnessprogramer.com/exercise/dragon-flag/,https://fitnessprogramer.com/wp-content/uploads/2022/07/Leg-Raise-Dragon-Flag.gif
Dumbbell Power Clean,Full Body,https://fitnessprogramer.com/exercise/dumbbell-power-clean/,https://fitnessprogramer.com/wp-content/uploads/2022/07/Dumbbell-Power-Clean.gif
Dumbbell Devil Press,Full Body,https://fitnessprogramer.com/exercise/dumbbell-devil-press/,https://fitnessprogramer.com/wp-content/uploads/2022/07/Dumbbell-Devil-Press.gif
Ab Coaster Machine,Abs,https://fitnessprogramer.com/exercise/ab-coaster-machine/,https://fitnessprogramer.com/wp-content/uploads/2022/07/Ab-Coaster-Machine.gif
Overhead Shrug,Trapezius,https://fitnessprogramer.com/exercise/overhead-shrug/,https://fitnessprogramer.com/wp-content/uploads/2022/07/overhead-shrug.gif
Overhead Squat,Full Body,https://fitnessprogramer.com/exercise/overhead-squat/,https://fitnessprogramer.com/wp-content/uploads/2022/07/overhead-squat.gif
Tiger Yoga Pose,Yoga,https://fitnessprogramer.com/exercise/tiger-yoga-pose/,https://fitnessprogramer.com/wp-content/uploads/2022/05/Tiger-Yoga-Pose.gif
Barbell Glute Bridge Two Legs on Bench,Hip,https://fitnessprogramer.com/exercise/barbell-glute-bridge-two-legs-on-bench/,https://fitnessprogramer.com/wp-content/uploads/2023/03/Barbell-Glute-Bridge-Two-Legs-on-Bench.gif
Ski Ergometer,Full Body,https://fitnessprogramer.com/exercise/ski-ergometer/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Ski-Ergometer.gif
Riding Outdoor Bicycle,Cardio,https://fitnessprogramer.com/exercise/riding-outdoor-bicycle/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Riding-Outdoor-Bicycle.gif
Human Flag,Calisthenic,https://fitnessprogramer.com/exercise/human-flag/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Human-Flag.gif
Human Flag,Full Body,https://fitnessprogramer.com/exercise/human-flag/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Human-Flag.gif
Farmer's Walk,Full Body,https://fitnessprogramer.com/exercise/farmers-walk/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Farmers-walk_Cardio.gif
Log Lift,Full Body,https://fitnessprogramer.com/exercise/log-lift/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Log-Lift.gif
Tire Sledge Hammer,Full Body,https://fitnessprogramer.com/exercise/tire-sledge-hammer/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Tire-SledgeHammer.gif
Tire Flip,Full Body,https://fitnessprogramer.com/exercise/tire-flip/,https://fitnessprogramer.com/wp-content/uploads/2022/02/StrongMan-Tire-Flip.gif
Barbell Snatch,Full Body,https://fitnessprogramer.com/exercise/barbell-snatch/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Snatch.gif
Power Snatch,Full Body,https://fitnessprogramer.com/exercise/power-snatch/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Power-Snatch.gif
Muscle Snatch,Full Body,https://fitnessprogramer.com/exercise/muscle-snatch/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Muscle-Snatch.gif
Heaving Snatch Balance,Full Body,https://fitnessprogramer.com/exercise/heaving-snatch-balance/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Barbell-Heaving-Snatch-Balance.gif
Arm Scissors,Chest,https://fitnessprogramer.com/exercise/arm-scissors/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Arm-Scissors.gif
Arm Scissors,Shoulders,https://fitnessprogramer.com/exercise/arm-scissors/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Arm-Scissors.gif
Side Arm Raises,Shoulders,https://fitnessprogramer.com/exercise/side-arm-raises/,https://fitnessprogramer.com/wp-content/uploads/2021/02/arm-circles.gif
Barbell Hip Thrusts,Hip,https://fitnessprogramer.com/exercise/barbell-hip-thrusts/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Hip-Thrust.gif
Weighted Lateral Neck Flexion,Neck,https://fitnessprogramer.com/exercise/lying-weighted-lateral-neck-flexion/,https://fitnessprogramer.com/wp-content/uploads/2022/02/Lying-Weighted-Lateral-Neck-Flexion.gif
Cross Crunch,Abs,https://fitnessprogramer.com/exercise/cross-crunch/,https://fitnessprogramer.com/wp-content/uploads/2022/07/Cross-Crunch.gif
Standing Cable Crunch,Abs,https://fitnessprogramer.com/exercise/standing-cable-crunch/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Standing-Cable-Crunch.gif
Walking,Cardio,https://fitnessprogramer.com/exercise/walking/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Walking.gif
Briskly Walking,Cardio,https://fitnessprogramer.com/exercise/briskly-walking/,https://fitnessprogramer.com/wp-content/uploads/2021/09/Briskly-Walking.gif
Weighted Lying Neck Extension (Neck Harness),Neck,https://fitnessprogramer.com/exercise/weighted-lying-neck-extension/,https://fitnessprogramer.com/wp-content/uploads/2021/08/Weighted-Lying-Neck-Extension.gif
Weighted Lying Neck Flexion (Neck Harness),Neck,https://fitnessprogramer.com/exercise/weighted-lying-neck-flexion/,https://fitnessprogramer.com/wp-content/uploads/2021/08/Weighted-Lying-Neck-Flexion.gif
Wrist Roller,Forearm,https://fitnessprogramer.com/exercise/wrist-roller/,https://fitnessprogramer.com/wp-content/uploads/2021/08/wrist-roller.gif
Seated Bench Leg Pull-in,Abs,https://fitnessprogramer.com/exercise/seated-bench-leg-pull-in/,https://fitnessprogramer.com/wp-content/uploads/2021/02/Seated-Bench-Leg-Pull-in.gif
Cross Body Mountain Climber,Abs,https://fitnessprogramer.com/exercise/cross-body-mountain-climber/,https://fitnessprogramer.com/wp-content/uploads/2022/07/Cross-Body-Mountain-Climber.gif
Gittleson Shrug,Neck,https://fitnessprogramer.com/exercise/gittleson-shrug/,https://fitnessprogramer.com/wp-content/uploads/2022/01/Dumbbell-Seated-Gittleson-Shrug.gif
